/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 000 - Hanzo the Blacksmith
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	0	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Bronze Helm
8	0	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Bronze Armor
9	0	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Bronze Pants
10	0	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Bronze Gloves
11	0	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Bronze Boots
7	6	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Scale Helm
8	6	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Scale Armor
9	6	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Scale Pants
10	6	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Scale Gloves
11	6	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Scale Boots
7	9	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Plate Helm
8	9	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Plate Armor
9	9	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Plate Pants
10	9	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Plate Gloves
11	9	3	0	0	0	1	0	0	0	0	255	255	255	255	255	//Plate Boots
6	5	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Dragon Slayer Shield
6	11	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Serpent Shield
0	3	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Katana
0	7	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Falchion
0	5	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Blade
0	13	3	0	1	0	1	0	0	0	0	255	255	255	255	255	//Double Blade
12	14	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Fortitude
//12	12	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Orb of Rageful Blow
12	7	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Orb of Twisting Slash
//12	19	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Orb of Death Stab
end
